serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score
ZCH06TBW,0,0,,,,0,0,0,1,0.7274343371391296,
ZCH06TCP,0,0,,,,0,0,0,1,0.6339150667190552,
ZCH06TDJ,0,0,,,,0,0,0,1,0.596930205821991,
ZCH06THP,0,0,,,,0,0,0,1,0.8036459684371948,
ZCH06TJ0,0,0,,,,0,0,0,1,0.566663920879364,
ZCH06TJK,0,0,,,,0,0,0,1,0.8646422624588013,
ZCH06TP0,0,0,,,,0,0,0,1,0.5056552290916443,
ZCH06TSJ,0,0,,,,0,0,0,1,0.5633066892623901,
ZCH06TT3,0,0,,,,0,0,0,1,0.5076091289520264,
ZCH06TTP,0,0,,,,0,0,0,1,0.6691421866416931,
ZCH06TW7,0,0,,,,0,0,0,1,0.5080360174179077,
ZCH06TWY,0,0,,,,0,0,0,1,0.580640435218811,
ZCH06TYE,0,0,,,,0,0,0,1,0.4868628978729248,
ZCH06TZG,0,0,,,,0,0,0,1,0.5809747576713562,
ZCH06V1F,0,0,,,,0,0,0,1,0.6184325218200684,
ZCH06V1M,0,0,,,,0,0,0,1,0.7467379570007324,
ZCH06V25,0,0,,,,0,0,0,1,0.6310979127883911,
ZCH06V33,0,0,,,,0,0,0,1,0.4210143983364105,
ZCH06V3J,0,0,,,,0,0,0,1,0.588761568069458,
ZCH06V5A,0,0,,,,0,0,0,1,0.6147712469100952,
ZCH06V8V,0,0,,,,0,0,0,1,0.5898627042770386,
ZCH06V9W,0,0,,,,0,0,0,1,0.568777859210968,
ZCH06VB0,0,0,,,,0,0,0,1,0.6048358678817749,
ZCH06VD2,0,0,,,,0,0,0,1,0.4270101487636566,
ZCH06VH3,0,0,,,,0,0,0,1,0.5195480585098267,
ZCH06VKW,0,0,,,,0,0,0,1,0.649137020111084,
ZCH06VM1,0,0,,,,0,0,0,1,0.6710795164108276,
ZCH06VN1,1,1,2018-09-10,2019-04-24,226.0,0,0,1,0,0.9891263842582703,0.9874281883239746
ZCH06VS2,0,0,,,,0,0,0,1,0.6691963076591492,
ZCH06VVP,1,0,,2019-10-29,,0,0,1,0,0.7839013934135437,
ZCH06VX5,0,0,,,,0,0,0,1,0.9600671529769897,
ZCH06VYV,0,0,,,,0,0,0,1,0.5384707450866699,
ZCH06W65,0,0,,,,0,0,0,1,0.5842493772506714,
ZCH06WA8,0,0,,,,0,0,0,1,0.6570807695388794,
ZCH06WAQ,0,0,,,,0,0,0,1,0.4898112416267395,
ZCH06WB8,0,0,,,,0,0,0,1,0.9224103689193726,
ZCH06WDW,0,0,,,,0,0,0,1,0.6452089548110962,
ZCH06WF5,0,0,,,,0,0,0,1,0.6313415765762329,
ZCH06WFY,0,0,,,,0,0,0,1,0.5428131222724915,
ZCH06WGD,0,0,,,,0,0,0,1,0.45238566398620605,
ZCH06WH9,0,0,,,,0,0,0,1,0.5024875998497009,
