dataset,model,seed,burden,n_alarmed,n_fail,ear,within_5,recall_5,within_7,recall_7,within_10,recall_10,within_15,recall_15,within_30,recall_30,within_60,recall_60,within_90,recall_90,within_180,recall_180,within_365,recall_365
HGST,XGB,44,0.01,17,162,0.009657594381035996,0.23529411764705882,0.024691358024691357,0.4117647058823529,0.043209876543209874,0.4117647058823529,0.043209876543209874,0.47058823529411764,0.04938271604938271,0.5294117647058824,0.05555555555555555,0.7058823529411765,0.07407407407407407,0.7058823529411765,0.07407407407407407,0.8235294117647058,0.08641975308641975,0.9411764705882353,0.09876543209876543
HGST,XGB,44,0.05,57,162,0.04916593503072871,0.12280701754385964,0.043209876543209874,0.15789473684210525,0.05555555555555555,0.21052631578947367,0.07407407407407407,0.2982456140350877,0.10493827160493827,0.3508771929824561,0.12345679012345678,0.5087719298245614,0.17901234567901234,0.5789473684210527,0.2037037037037037,0.7368421052631579,0.25925925925925924,0.8947368421052632,0.3148148148148148
HGST,XGB,45,0.01,9,162,0.003511852502194908,0.1111111111111111,0.006172839506172839,0.2222222222222222,0.012345679012345678,0.3333333333333333,0.018518518518518517,0.4444444444444444,0.024691358024691357,0.5555555555555556,0.030864197530864196,0.6666666666666666,0.037037037037037035,0.6666666666666666,0.037037037037037035,1.0,0.05555555555555555,1.0,0.05555555555555555
HGST,XGB,45,0.05,49,162,0.04741000877963126,0.08163265306122448,0.024691358024691357,0.12244897959183673,0.037037037037037035,0.14285714285714285,0.043209876543209874,0.16326530612244897,0.04938271604938271,0.2653061224489796,0.08024691358024691,0.3673469387755102,0.1111111111111111,0.4489795918367347,0.13580246913580246,0.6326530612244898,0.19135802469135801,0.8571428571428571,0.25925925925925924
HGST,XGB,46,0.01,14,162,0.00877963125548727,0.07142857142857142,0.006172839506172839,0.14285714285714285,0.012345679012345678,0.2857142857142857,0.024691358024691357,0.35714285714285715,0.030864197530864196,0.42857142857142855,0.037037037037037035,0.5714285714285714,0.04938271604938271,0.6428571428571429,0.05555555555555555,0.7857142857142857,0.06790123456790123,1.0,0.08641975308641975
HGST,XGB,46,0.05,56,162,0.04916593503072871,0.07142857142857142,0.024691358024691357,0.125,0.043209876543209874,0.14285714285714285,0.04938271604938271,0.17857142857142858,0.06172839506172839,0.26785714285714285,0.09259259259259259,0.42857142857142855,0.14814814814814814,0.5357142857142857,0.18518518518518517,0.6607142857142857,0.22839506172839505,0.8392857142857143,0.29012345679012347
HGST,XGB,47,0.01,19,162,0.00877963125548727,0.21052631578947367,0.024691358024691357,0.3157894736842105,0.037037037037037035,0.3157894736842105,0.037037037037037035,0.42105263157894735,0.04938271604938271,0.47368421052631576,0.05555555555555555,0.5789473684210527,0.06790123456790123,0.6842105263157895,0.08024691358024691,0.8947368421052632,0.10493827160493827,1.0,0.11728395061728394
HGST,XGB,47,0.05,56,162,0.04916593503072871,0.125,0.043209876543209874,0.16071428571428573,0.05555555555555555,0.19642857142857142,0.06790123456790123,0.26785714285714285,0.09259259259259259,0.3392857142857143,0.11728395061728394,0.4642857142857143,0.16049382716049382,0.5357142857142857,0.18518518518518517,0.7678571428571429,0.2654320987654321,0.9285714285714286,0.32098765432098764
HGST,XGB,48,0.01,18,162,0.009657594381035996,0.2222222222222222,0.024691358024691357,0.3333333333333333,0.037037037037037035,0.4444444444444444,0.04938271604938271,0.5,0.05555555555555555,0.5555555555555556,0.06172839506172839,0.6666666666666666,0.07407407407407407,0.7222222222222222,0.08024691358024691,0.8888888888888888,0.09876543209876543,0.9444444444444444,0.10493827160493827
HGST,XGB,48,0.05,49,162,0.04916593503072871,0.061224489795918366,0.018518518518518517,0.10204081632653061,0.030864197530864196,0.14285714285714285,0.043209876543209874,0.16326530612244897,0.04938271604938271,0.24489795918367346,0.07407407407407407,0.40816326530612246,0.12345679012345678,0.5102040816326531,0.15432098765432098,0.6326530612244898,0.19135802469135801,0.8163265306122449,0.24691358024691357
HGST,XGB,49,0.01,13,162,0.00877963125548727,0.15384615384615385,0.012345679012345678,0.23076923076923078,0.018518518518518517,0.3076923076923077,0.024691358024691357,0.3076923076923077,0.024691358024691357,0.38461538461538464,0.030864197530864196,0.46153846153846156,0.037037037037037035,0.46153846153846156,0.037037037037037035,0.7692307692307693,0.06172839506172839,0.8461538461538461,0.06790123456790123
HGST,XGB,49,0.05,48,162,0.048287971905179985,0.041666666666666664,0.012345679012345678,0.041666666666666664,0.012345679012345678,0.0625,0.018518518518518517,0.125,0.037037037037037035,0.22916666666666666,0.06790123456790123,0.3541666666666667,0.10493827160493827,0.4791666666666667,0.1419753086419753,0.6458333333333334,0.19135802469135801,0.7916666666666666,0.2345679012345679
HGST,XGB,50,0.01,18,162,0.009657594381035996,0.2222222222222222,0.024691358024691357,0.3333333333333333,0.037037037037037035,0.4444444444444444,0.04938271604938271,0.4444444444444444,0.04938271604938271,0.5,0.05555555555555555,0.5555555555555556,0.06172839506172839,0.6111111111111112,0.06790123456790123,0.7777777777777778,0.08641975308641975,0.8888888888888888,0.09876543209876543
