dataset,model,seed,window,tau,alarmed,burden,n_cens
HGST,XGB,42,180,0.11885541677474976,3,0.0030706243602865915,977
HGST,XGB,42,365,0.11885541677474976,4,0.0040941658137154556,977
HGST,XGB,42,730,0.11885541677474976,4,0.0040941658137154556,977
HGST,XGB,42,1095,0.11885541677474976,4,0.0040941658137154556,977
HGST,XGB,42,1460,0.11885541677474976,6,0.006141248720573183,977
HGST,XGB,42,-1,0.11885541677474976,24,0.02456499488229273,977
HGST,XGB,43,180,0.2427809238433838,0,0.0,977
HGST,XGB,43,365,0.2427809238433838,1,0.0010235414534288639,977
HGST,XGB,43,730,0.2427809238433838,1,0.0010235414534288639,977
HGST,XGB,43,1095,0.2427809238433838,1,0.0010235414534288639,977
HGST,XGB,43,1460,0.2427809238433838,2,0.0020470829068577278,977
HGST,XGB,43,-1,0.2427809238433838,26,0.02661207778915046,977
HGST,XGB,44,180,0.31476521492004395,0,0.0,977
HGST,XGB,44,365,0.31476521492004395,2,0.0020470829068577278,977
HGST,XGB,44,730,0.31476521492004395,3,0.0030706243602865915,977
HGST,XGB,44,1095,0.31476521492004395,3,0.0030706243602865915,977
HGST,XGB,44,1460,0.31476521492004395,4,0.0040941658137154556,977
HGST,XGB,44,-1,0.31476521492004395,24,0.02456499488229273,977
HGST,XGB,45,180,0.2516770660877228,0,0.0,977
HGST,XGB,45,365,0.2516770660877228,1,0.0010235414534288639,977
HGST,XGB,45,730,0.2516770660877228,1,0.0010235414534288639,977
HGST,XGB,45,1095,0.2516770660877228,1,0.0010235414534288639,977
HGST,XGB,45,1460,0.2516770660877228,3,0.0030706243602865915,977
HGST,XGB,45,-1,0.2516770660877228,28,0.028659160696008188,977
HGST,XGB,46,180,0.25122085213661194,0,0.0,977
HGST,XGB,46,365,0.25122085213661194,1,0.0010235414534288639,977
HGST,XGB,46,730,0.25122085213661194,1,0.0010235414534288639,977
HGST,XGB,46,1095,0.25122085213661194,1,0.0010235414534288639,977
HGST,XGB,46,1460,0.25122085213661194,3,0.0030706243602865915,977
HGST,XGB,46,-1,0.25122085213661194,24,0.02456499488229273,977
HGST,XGB,47,180,0.12018118053674698,1,0.0010235414534288639,977
HGST,XGB,47,365,0.12018118053674698,3,0.0030706243602865915,977
HGST,XGB,47,730,0.12018118053674698,4,0.0040941658137154556,977
HGST,XGB,47,1095,0.12018118053674698,4,0.0040941658137154556,977
HGST,XGB,47,1460,0.12018118053674698,6,0.006141248720573183,977
HGST,XGB,47,-1,0.12018118053674698,24,0.02456499488229273,977
HGST,XGB,48,180,0.3073498010635376,0,0.0,977
HGST,XGB,48,365,0.3073498010635376,2,0.0020470829068577278,977
HGST,XGB,48,730,0.3073498010635376,3,0.0030706243602865915,977
HGST,XGB,48,1095,0.3073498010635376,3,0.0030706243602865915,977
HGST,XGB,48,1460,0.3073498010635376,4,0.0040941658137154556,977
HGST,XGB,48,-1,0.3073498010635376,24,0.02456499488229273,977
HGST,XGB,49,180,0.28824281692504883,1,0.0010235414534288639,977
HGST,XGB,49,365,0.28824281692504883,2,0.0020470829068577278,977
HGST,XGB,49,730,0.28824281692504883,4,0.0040941658137154556,977
HGST,XGB,49,1095,0.28824281692504883,4,0.0040941658137154556,977
HGST,XGB,49,1460,0.28824281692504883,5,0.00511770726714432,977
HGST,XGB,49,-1,0.28824281692504883,25,0.0255885363357216,977
HGST,XGB,50,180,0.30700403451919556,1,0.0010235414534288639,977
HGST,XGB,50,365,0.30700403451919556,2,0.0020470829068577278,977
HGST,XGB,50,730,0.30700403451919556,4,0.0040941658137154556,977
HGST,XGB,50,1095,0.30700403451919556,4,0.0040941658137154556,977
