dataset,model,seed,split,threshold_kind,threshold,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm,N_failed,N_censored,N_alarmed,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time
HGST_20HUH721212ALN604,GRU,51,val,row_opt,0.042,21,100,39,58,917,160,975,179,0.117318,0.13125,0.123894,0.059487,0.173554,284.59,201.0,302.06
HGST_20HUH721212ALN604,GRU,51,val,disk_opt,0.238,17,39,104,9,966,160,975,65,0.261538,0.10625,0.151111,0.009231,0.303571,138.43,73.0,173.19
HGST_20HUH721212ALN604,GRU,51,test,row_opt,0.042,12,99,51,72,905,162,977,183,0.065574,0.074074,0.069565,0.073695,0.108108,310.75,223.0,306.47
HGST_20HUH721212ALN604,GRU,51,test,disk_opt,0.238,20,36,106,17,960,162,977,73,0.273973,0.123457,0.170213,0.0174,0.357143,162.8,71.0,233.57
HGST_20HUH721212ALN604,GRU,52,val,row_opt,0.042,22,94,44,60,915,160,975,176,0.125,0.1375,0.130952,0.061538,0.189655,254.57,192.5,249.19
HGST_20HUH721212ALN604,GRU,52,val,disk_opt,0.212,17,33,110,9,966,160,975,59,0.288136,0.10625,0.155251,0.009231,0.34,117.64,68.5,150.72
HGST_20HUH721212ALN604,GRU,52,test,row_opt,0.042,10,97,55,58,919,162,977,165,0.060606,0.061728,0.061162,0.059365,0.093458,285.49,186.0,294.18
HGST_20HUH721212ALN604,GRU,52,test,disk_opt,0.212,19,38,105,16,961,162,977,73,0.260274,0.117284,0.161702,0.016377,0.333333,153.91,79.0,223.46
HGST_20HUH721212ALN604,GRU,53,val,row_opt,0.044,22,100,38,58,917,160,975,180,0.122222,0.1375,0.129412,0.059487,0.180328,272.28,205.0,260.15
HGST_20HUH721212ALN604,GRU,53,val,disk_opt,0.217,19,38,103,9,966,160,975,66,0.287879,0.11875,0.168142,0.009231,0.333333,130.68,67.0,170.98
