ds,model,seed,budget,crit,thr,row_rec,row_far,OT,E,M,CE,CN,recall,precision,far,mlt
HGST,LGBM,52,0.05,row,0.004,0.6624525916561315,0.0354567436609117,12,126,24,121,856,0.07407407407407407,0.04633204633204633,0.12384851586489252,327.0
HGST,LGBM,52,0.05,op,0.021,0.25747998314369996,0.0036825516300512773,18,76,68,45,932,0.1111111111111111,0.12949640287769784,0.04605936540429888,156.0
HGST,LGBM,53,0.001,row,0.07300000000000001,0.08322798145806995,0.0010187702874347273,14,35,113,21,956,0.08641975308641975,0.2,0.021494370522006142,75.0
HGST,LGBM,53,0.005,row,0.009000000000000001,0.2334597555836494,0.0037269605306487273,20,63,79,49,928,0.12345679012345678,0.15151515151515152,0.05015353121801433,134.0
HGST,LGBM,53,0.01,row,0.004,0.3973872734934682,0.008338711953709367,17,89,56,58,919,0.10493827160493827,0.10365853658536585,0.0593654042988741,166.0
HGST,LGBM,53,0.01,op,0.922,0.05056890012642225,0.0003458625393987863,11,18,133,10,967,0.06790123456790123,0.28205128205128205,0.01023541453428864,52.0
HGST,LGBM,53,0.02,row,0.004,0.3973872734934682,0.008338711953709367,17,89,56,58,919,0.10493827160493827,0.10365853658536585,0.0593654042988741,166.0
HGST,LGBM,53,0.02,op,0.07300000000000001,0.08322798145806995,0.0010187702874347273,14,35,113,21,956,0.08641975308641975,0.2,0.021494370522006142,75.0
HGST,LGBM,53,0.05,row,0.002,0.7528445006321113,0.055592792962318296,12,130,20,161,816,0.07407407407407407,0.039603960396039604,0.1647901740020471,420.5
HGST,LGBM,53,0.05,op,0.012,0.18900126422250316,0.0024330808674789483,15,55,92,42,935,0.09259259259259259,0.13392857142857142,0.042988741044012284,139.0
HGST,LGBM,54,0.001,row,0.14200000000000002,0.14032869785082175,0.0015151714729265654,17,59,86,64,913,0.10493827160493827,0.12142857142857143,0.06550665301944729,141.0
HGST,LGBM,54,0.005,row,0.045,0.3449220396123051,0.005336971350613916,18,87,57,88,889,0.1111111111111111,0.09326424870466321,0.09007164790174002,170.0
HGST,LGBM,54,0.01,row,0.030000000000000002,0.46755162241887904,0.010719104295055746,16,105,41,109,868,0.09876543209876543,0.06956521739130435,0.11156601842374617,242.0
HGST,LGBM,54,0.02,row,0.013000000000000001,0.5648967551622419,0.019738250929105708,13,116,33,138,839,0.08024691358024691,0.04868913857677903,0.14124872057318322,271.0
HGST,LGBM,54,0.02,op,0.756,0.047619047619047616,0.0005615091499270829,16,28,118,26,951,0.09876543209876543,0.22857142857142856,0.02661207778915046,65.0
HGST,LGBM,54,0.05,row,0.005,0.775811209439528,0.05288159194618244,14,135,13,192,785,0.08641975308641975,0.04105571847507331,0.19651995905834185,395.0
HGST,LGBM,54,0.05,op,0.39,0.10977665402444163,0.0009912969845227455,16,51,95,52,925,0.09876543209876543,0.13445378151260504,0.05322415557830092,99.0
HGST,LGBM,55,0.001,row,0.249,0.10998735777496839,0.0013770522651361905,16,47,99,53,924,0.09876543209876543,0.13793103448275862,0.05424769703172978,82.0
HGST,LGBM,55,0.005,row,0.045,0.3504003371260008,0.005909770898997977,20,94,48,79,898,0.12345679012345678,0.10362694300518134,0.08085977482088025,198.0
